Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
ExtraTreesRegressor,0.90491967,0.978970468,0.000886353,17.12119675
KNeighborsRegressor,0.844891239,0.965693592,0.001099794,0.086766958
XGBRegressor,0.832979995,0.963059105,0.001360149,3.326132059
RandomForestRegressor,0.828524788,0.962073718,0.001217992,47.54090166
BaggingRegressor,0.782715537,0.951941789,0.001378098,5.026291609
DecisionTreeRegressor,0.606860315,0.913046752,0.0020131,0.843742847
ExtraTreeRegressor,0.451038364,0.878582603,0.002508817,0.247371912
RidgeCV,0.375068518,0.86177986,0.00238849,0.297781467
Ridge,0.259541053,0.836227903,0.002527205,0.068818331
OrthogonalMatchingPursuit,0.145156376,0.810928704,0.002936378,0.091754913
LinearRegression,-0.821233208,0.597186067,0.003467636,0.614328146
TransformedTargetRegressor,-0.821233208,0.597186067,0.003467636,0.102696896
ElasticNet,-3.540263351,-0.004199424,0.00918769,0.7567873
Lasso,-3.540263351,-0.004199424,0.00918769,0.079785347
LassoLars,-3.540263351,-0.004199424,0.00918769,0.077790976
DummyRegressor,-3.540263351,-0.004199424,0.00918769,0.049868584
GaussianProcessRegressor,-24.59665424,-4.661377644,0.015033643,5.054162025
KernelRidge,-24.77550127,-4.700934398,0.012881898,0.945827961
RANSACRegressor,-894.2311946,-197.004076,0.07345071,1.453321695
MLPRegressor,-6498.451425,-1436.525727,0.273334824,1.9101367
Lars,-1.35E+19,-2.98E+18,20994772.85,0.300498247
